field1,field2,field3,field4,field5,field6,field7
18.105993638404662,4.109977209627102,499.63209507788997,26.479652509351688,47.10702307246307,47.10702307246307,7.441522121149646
18.06170059495767,7.934268722516211,960.571445127933,38.966533158242534,44.456183832959965,44.456183832959965,14.33063861060251
18.068356932320047,6.465901208940415,785.595153449124,50.553104255674285,163.1258244937866,163.1258244937866,11.682821093225511
17.863404428879946,5.649900671788457,678.9267873576293,45.62787102433464,44.918315972911095,44.918315972911095,10.09264606831577
18.12119439853864,2.6354578511359446,324.81491235394924,48.22964017515074,48.95095070315358,48.95095070315358,4.775764404958936
18.026125053123387,2.654935208904169,324.79561626896214,43.05741783487511,136.69168723523347,136.69168723523347,4.785819408364682
17.96307228607538,2.008867931405818,246.46688973455957,44.22967975812483,80.9531716410972,80.9531716410972,3.6085439865021436
18.014338846734226,7.3800488415370324,892.9409166199481,49.72184780478618,139.8079002519326,139.8079002519326,13.294670053689648
17.82237647671017,5.698400206936398,680.892009394567,28.738380310071506,11.765908361589343,11.765908361589343,10.155903380298362
18.04086528114807,6.331520693762768,766.4580622368364,37.12987372750992,87.76281486120918,87.76281486120918,11.422611186097527
17.897062849181793,1.7832698569129544,216.46759543664194,27.742330463686077,6.050448032990873,6.050448032990873,3.191529270622257
17.864732971415645,8.133220624474182,975.9278817295955,54.568380279882646,11.277576621963814,11.277576621963814,14.529781465384167
17.847764081378212,7.218398605609622,865.9541126403374,53.04207688903146,163.15874160199397,163.15874160199397,12.883227535826999
18.111268837498994,3.0397149425251166,369.87128854262096,21.379938397897707,25.06416680116713,25.06416680116713,5.5053094513435195
17.93707366063072,2.8390970794675554,345.4599737656805,44.6951310380491,95.83572280953908,95.83572280953908,5.092509344409109
18.15337277099165,2.807239624454497,346.72360788274705,52.3836911095483,73.99720846812718,73.99720846812718,5.096086736022109
17.94641985369477,3.6766478746997,443.39379436763016,26.32013707945667,62.52179872659168,62.52179872659168,6.598266641355538
17.829264204240705,5.169770837349431,619.8051453057903,39.87808306934203,161.97000222370903,161.97000222370903,9.21732101344817
17.888347556005133,4.516490982512252,545.5560149136926,52.04209041558146,3.92821141958811,3.92821141958811,8.079256042874226
18.123581162000693,3.560208882670519,432.98331215843353,21.18810925050296,119.48214351160604,119.48214351160604,6.452373463875496
17.984410182206332,5.701279727319577,689.4823157779035,44.4097093536394,173.41099815843907,173.41099815843907,10.253415317961274
17.94517127035094,2.5706703089149214,311.59508852163344,30.407215258039276,100.83027302313155,100.83027302313155,4.613111897308423
18.016001822585277,3.552968140090763,433.71571882817454,52.35386683817856,168.62804316595654,168.62804316595654,6.4010280487462605
18.050178273616755,4.037837151456753,493.0894746349534,53.987038580787875,9.406418271484277,9.406418271484277,7.288368042362724
